//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
811	17.44	174 	3.960
812	17.45	175 	3.965
813	17.47	175 	3.970
814	17.48	175 	3.975
815	17.49	175 	3.979
816	17.50	175 	3.984
817	17.51	175 	3.989
818	17.53	175 	3.994
819	17.54	175 	3.999
820	17.55	175 	4.004
821	17.56	176 	4.009
822	17.57	176 	4.014
823	17.59	176 	4.019
824	17.60	176 	4.023
825	17.61	176 	4.028
826	17.62	176 	4.033
827	17.63	176 	4.038
828	17.65	176 	4.043
829	17.66	177 	4.048
830	17.67	177 	4.053
831	17.68	177 	4.058
832	17.69	177 	4.063
833	17.71	177 	4.067
834	17.72	177 	4.072
835	17.73	177 	4.077
836	17.74	177 	4.082
837	17.75	178 	4.087
838	17.77	178 	4.092
839	17.78	178 	4.097
840	17.79	178 	4.102
841	17.80	178 	4.106
842	17.81	178 	4.111
843	17.83	178 	4.116
844	17.84	178 	4.121
845	17.85	178 	4.126
846	17.86	179 	4.131
847	17.87	179 	4.136
848	17.89	179 	4.141
849	17.90	179 	4.146
850	17.91	179 	4.150
851	17.92	179 	4.155
852	17.93	179 	4.160
853	17.95	179 	4.165
854	17.96	180 	4.170
855	17.97	180 	4.175
856	17.98	180 	4.180
857	17.99	180 	4.185
858	18.01	180 	4.189
859	18.02	180 	4.194
860	18.03	180 	4.199
861	18.04	180 	4.204
862	18.05	181 	4.209
863	18.07	181 	4.214
864	18.08	181 	4.219
865	18.09	181 	4.224
866	18.10	181 	4.229
867	18.11	181 	4.233
868	18.13	181 	4.238
869	18.14	181 	4.243
870	18.15	182 	4.248
871	18.16	182 	4.253
872	18.17	182 	4.258
873	18.19	182 	4.263
874	18.20	182 	4.268
875	18.21	182 	4.272
876	18.22	182 	4.277
877	18.23	182 	4.282
878	18.25	182 	4.287
879	18.26	183 	4.292
880	18.27	183 	4.297
881	18.28	183 	4.302
882	18.29	183 	4.307
883	18.31	183 	4.312
884	18.32	183 	4.316
885	18.33	183 	4.321
886	18.34	183 	4.326
887	18.35	184 	4.331
888	18.37	184 	4.336
889	18.38	184 	4.341
890	18.39	184 	4.346
891	18.40	184 	4.351
892	18.41	184 	4.355
893	18.43	184 	4.360
894	18.44	184 	4.365
